Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,longitude,latitude,easting,northing,height,speed,yaw,pitch,roll
1622864307.5179932,580895,1622864307,490000010,map,121.176659381,31.27994943985,248.14802969939774,-309.1044641523622,0.0,13.282426834106445,2.378171698194419,0.0,0.0
1622864307.5284617,580896,1622864307,500000000,map,121.17665835879,31.27995025366,248.0521978776669,-309.0126397870481,0.0,13.286608695983887,2.3786755902305408,0.0,0.0
1622864307.538748,580897,1622864307,509999990,map,121.17665733618,31.27995106728,247.95632762968307,-308.9208358535543,0.0,13.293102264404297,2.3791842733525375,0.0,0.0
1622864307.5487463,580898,1622864307,519999981,map,121.17665631321,31.27995188067,247.86042268329766,-308.82905684923753,0.0,13.294744491577148,2.3796884068375075,0.0,0.0
1622864307.5581956,580899,1622864307,529999971,map,121.17665529028,31.27995269224,247.76451821438968,-308.7374796657823,0.0,13.290525436401367,2.3801633641071582,0.0,0.0
1622864307.5683453,580900,1622864307,539999962,map,121.17665426618,31.27995350478,247.66850412957137,-308.64579310966656,0.0,13.292441368103027,2.3806210607511846,0.0,0.0
1622864307.5785656,580901,1622864307,549999952,map,121.17665324185,31.27995431695,247.5724674736848,-308.5541472071782,0.0,13.291324615478516,2.3810811498925486,0.0,0.0
1622864307.589104,580902,1622864307,559999943,map,121.17665221665,31.27995512891,247.47634759894572,-308.4625232135877,0.0,13.29416561126709,2.3815245665318874,0.0,0.0
1622864307.598102,580903,1622864307,569999933,map,121.1766511916,31.27995593886,247.38023832603358,-308.3711222773418,0.0,13.28895092010498,2.3819256305927192,0.0,0.0
1622864307.608227,580904,1622864307,579999924,map,121.17665016538,31.2799567499,247.28401965956436,-308.27959866449237,0.0,13.294320106506348,2.382354473942243,0.0,0.0
1622864307.618004,580905,1622864307,589999914,map,121.17664913873,31.27995756039,247.1877590463264,-308.18813534639776,0.0,13.296566009521484,2.382764063919017,0.0,0.0
1622864307.6277988,580906,1622864307,599999905,map,121.17664811219,31.27995837017,247.09150760638295,-308.0967509066686,0.0,13.289948463439941,2.3831278677484993,0.0,0.0
1622864307.6386843,580907,1622864307,609999895,map,121.17664708424,31.27995917829,246.99511888471898,-308.0055482671596,0.0,13.29432487487793,2.383437154403652,0.0,0.0
1622864307.6484625,580908,1622864307,619999886,map,121.17664605587,31.27995998695,246.8986911631655,-307.9142851047218,0.0,13.295722961425781,2.3837718823742455,0.0,0.0
1622864307.658352,580909,1622864307,630000114,map,121.17664502709,31.2799607952,246.80222365783993,-307.8230667472817,0.0,13.295915603637695,2.384056916562432,0.0,0.0
1622864307.6686296,580910,1622864307,640000105,map,121.17664399772,31.27996160341,246.70569990976946,-307.7318518939428,0.0,13.299739837646484,2.384319237559332,0.0,0.0
1622864307.678981,580911,1622864307,650000095,map,121.17664296934,31.27996240949,246.60926651372574,-307.64087472110987,0.0,13.290169715881348,2.3845427807261896,0.0,0.0
1622864307.6894348,580912,1622864307,660000086,map,121.17664193977,31.27996321673,246.51272194832563,-307.54976708162576,0.0,13.297420501708984,2.3847589528789253,0.0,0.0
1622864307.6981986,580913,1622864307,670000076,map,121.17664090999,31.27996402355,246.41615662182448,-307.4587056702003,0.0,13.29797649383545,2.3849490524655366,0.0,0.0
1622864307.7093272,580914,1622864307,680000067,map,121.17663988063,31.27996482983,246.31963029620238,-307.367704781238,0.0,13.287688255310059,2.385088196379238,0.0,0.0
1622864307.7179656,580915,1622864307,690000057,map,121.17663885008,31.27996563523,246.22298905823845,-307.2767995726317,0.0,13.292476654052734,2.3851936297645824,0.0,0.0
1622864307.7279935,580916,1622864307,700000048,map,121.17663781915,31.27996644089,246.12631212291308,-307.18586494075134,0.0,13.292328834533691,2.3852851516016975,0.0,0.0
1622864307.7388835,580917,1622864307,710000038,map,121.1766367881,31.27996724631,246.02962332242168,-307.09495672537014,0.0,13.289931297302246,2.385323556262891,0.0,0.0
1622864307.748415,580918,1622864307,720000029,map,121.17663575733,31.27996805126,245.93296031979844,-307.0041010528803,0.0,13.285208702087402,2.3853297902124595,0.0,0.0
1622864307.7546911,580919,1622864307,730000019,map,121.17663472787,31.27996885473,245.83641933067702,-306.913411505986,0.0,13.276484489440918,2.385312720805109,0.0,0.0
1622864307.7685313,580920,1622864307,740000010,map,121.17663369653,31.27996966017,245.73970296490006,-306.8225006153807,0.0,13.284542083740234,2.385324760854233,0.0,0.0
1622864307.7784455,580921,1622864307,750000000,map,121.17663266569,31.27997046547,245.64303394185845,-306.73160602804273,0.0,13.284838676452637,2.385300818253022,0.0,0.0
1622864307.7895746,580922,1622864307,759999990,map,121.17663163494,31.27997127071,245.54637338395696,-306.64071823330596,0.0,13.277830123901367,2.3852413019670236,0.0,0.0
1622864307.7982914,580923,1622864307,769999981,map,121.17663060395,31.27997207534,245.4496888606809,-306.54989768378437,0.0,13.281939506530762,2.3851907823297203,0.0,0.0
1622864307.8086324,580924,1622864307,779999971,map,121.17662957296,31.2799728804,245.35300512460526,-306.45902946358547,0.0,13.278367042541504,2.385104636455767,0.0,0.0
1622864307.8140993,580925,1622864307,789999962,map,121.17662854185,31.27997368536,245.2563097823877,-306.36817214032635,0.0,13.274068832397461,2.3850289844088484,0.0,0.0
1622864307.8282495,580926,1622864307,799999952,map,121.17662751015,31.2799744906,245.15955878130626,-306.2772828466259,0.0,13.27788257598877,2.38494408347825,0.0,0.0
1622864307.8388941,580927,1622864307,809999943,map,121.17662647881,31.27997529481,245.0628401709837,-306.18650830024853,0.0,13.276583671569824,2.384833992995956,0.0,0.0
1622864307.8486109,580928,1622864307,819999933,map,121.176625447,31.27997610005,244.96607870078878,-306.09561883239076,0.0,13.282630920410156,2.3847322817172274,0.0,0.0
1622864307.8585122,580929,1622864307,829999924,map,121.17662441538,31.27997690516,244.86933508544462,-306.0047440743074,0.0,13.281709671020508,2.3845763841785974,0.0,0.0
1622864307.8686602,580930,1622864307,839999914,map,121.17662338409,31.27997770996,244.7726223190548,-305.91390419891104,0.0,13.271108627319336,2.3844113007626744,0.0,0.0
1622864307.8784196,580931,1622864307,849999905,map,121.17662235186,31.27997851503,244.67582055617822,-305.8230329127982,0.0,13.28188419342041,2.384231192959138,0.0,0.0
1622864307.889525,580932,1622864307,859999895,map,121.17662132033,31.2799793204,244.57908598834183,-305.7321294695139,0.0,13.282960891723633,2.384097156786399,0.0,0.0
1622864307.8984938,580933,1622864307,869999886,map,121.17662028844,31.27998012633,244.48231817688793,-305.6411633803509,0.0,13.28707218170166,2.383965480804955,0.0,0.0
1622864307.9087098,580934,1622864307,880000114,map,121.1766192564,31.27998093269,244.38553686940577,-305.55014938674867,0.0,13.289958953857422,2.3838676709654236,0.0,0.0
1622864307.9175723,580935,1622864307,890000105,map,121.17661822538,31.27998173889,244.28885238454677,-305.45915473252535,0.0,13.284531593322754,2.38373830983162,0.0,0.0
1622864307.9283035,580936,1622864307,900000095,map,121.1766171939,31.2799825458,244.1921254079789,-305.36808064673096,0.0,13.285906791687012,2.3836107660742587,0.0,0.0
1622864307.9411423,580937,1622864307,910000086,map,121.17661616232,31.27998335303,244.09538949647686,-305.2769709271379,0.0,13.287738800048828,2.3834749600852994,0.0,0.0
1622864307.9487307,580938,1622864307,920000076,map,121.17661513056,31.27998416052,243.9986369261751,-305.185832102783,0.0,13.289604187011719,2.3833468395664346,0.0,0.0
1622864307.9589884,580939,1622864307,930000067,map,121.1766140987,31.27998496769,243.90187425317708,-305.0947285927832,0.0,13.29713249206543,2.383193233418219,0.0,0.0
